name,price_sale,price,cpu,gpu,ram,rom,url,website
Apple MacBook Air 13 inch 128GB MQD32 I Chính hãng Apple Việt Nam ,17.590.000 ₫,21.000.000 ₫,"Intel Core i5 2 nhân tốc độ 1.8 GHz, Turbo Boost lên đến 2.9 GHz, 3 MB L3 cache",Intel HD Graphics 6000,8GB,128GB SSD,https://cellphones.com.vn/apple-macbook-air-13-inch-128-gb-mqd32-chinh-hang.html,cellphones.com.vn
Apple Mac mini M1 512GB 2020 I Chính hãng Apple Việt Nam ,21.500.000 ₫,24.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"GPU 8 nhân, 16 nhân Neural Engine",8GB,512GB SSD,https://cellphones.com.vn/mac-mini-2020-m1-512gb.html,cellphones.com.vn
Apple Macbook Pro 13 Touch Bar i5 2.0 512GB 2020 I Chính hãng Apple Việt Nam ,41.500.000 ₫,49.990.000 ₫,"Intel Core i5 thế hệ thứ 10, tốc độ 2.0GHz tối đa 3.8Ghz, bộ nhớ đệm cache L3 6MB",Intel Iris Plus Graphics,16GB,512GB SSD,https://cellphones.com.vn/macbook-pro-13-touchbar-i5-2ghz-512gb-2020.html,cellphones.com.vn
Apple Macbook Pro 13 Touch Bar i5 1.4 256GB 2020 I Chính hãng Apple Việt Nam ,30.500.000 ₫,36.990.000 ₫,"Intel Core i5 thế hệ thứ 8, tốc độ 1.4GHz tối đa 3.9Ghz, 128MB eDRAM",Intel Iris Plus Graphics 645,8GB,256GB SSD,https://cellphones.com.vn/macbook-pro-13-touchbar-i5-1-4ghz-256gb-2020.html,cellphones.com.vn
Apple MacBook Air M1 256GB 2020 I I Chính hãng Apple Việt Nam ,26.200.000 ₫,27.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"GPU 7 nhân, 16 nhân Neural Engine",8GB,256GB SSD,https://cellphones.com.vn/macbook-air-2020-m1.html,cellphones.com.vn
Apple MacBook Air M1 16GB 256GB 2020 I Chính hãng Apple Việt Nam ,30.500.000 ₫,32.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"GPU 7 nhân, 16 nhân Neural Engine",16GB,256GB SSD,https://cellphones.com.vn/macbook-air-2020-m1-16gb.html,cellphones.com.vn
Apple MacBook Pro 13 Touch Bar M1 16GB 256GB 2020 I Chính hãng Apple Việt Nam ,39.000.000 ₫,42.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"8 nhân GPU, 16 nhân Neural Engine",16GB,256GB SSD,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb.html,cellphones.com.vn
iMac 24 2021 M1 8GPU 16GB 256GB I Chính hãng Apple Việt Nam,44.990.000 ₫,45.990.000 ₫,Apple M1 8 nhân,GPU 8 nhân,"DDR4 3200Mhz, hỗ trợ tối đa 16GB",256GB SSD,https://cellphones.com.vn/imac-2021-8gpu-16gb.html,cellphones.com.vn
Apple MacBook Pro 13 Touch Bar M1 16GB 512GB 2020 I Chính hãng Apple Việt Nam ,43.990.000 ₫,46.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,8-core GPU,16GB,512GB SSD,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb-512gb.html,cellphones.com.vn
Apple MacBook Air M1 16GB 512GB 2020 I Chính hãng Apple Việt Nam ,38.000.000 ₫,40.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"GPU 7 nhân, 16 nhân Neural Engine",8GB,512GB SSD,https://cellphones.com.vn/macbook-air-2020-m1-16gb-512gb.html,cellphones.com.vn
iMac 24 2021 M1 8GPU 8GB 256GB I Chính hãng Apple Việt Nam,38.990.000 ₫,39.990.000 ₫,Apple M1 8 nhân,GPU 8 nhân,"DDR4 3200Mhz, hỗ trợ tối đa 16GB",256GB SSD,https://cellphones.com.vn/imac-2021-8gpu.html,cellphones.com.vn
Apple Mac mini M1 16GB 256GB 2020 I Chính hãng Apple Việt Nam ,24.500.000 ₫,25.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"GPU 8 nhân, 16 nhân Neural Engine",16GB,256GB SSD,https://cellphones.com.vn/mac-mini-2020-m1-16gb.html,cellphones.com.vn
Apple Mac mini M1 16GB 512GB 2020 I Chính hãng Apple Việt Nam ,29.500.000 ₫,30.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"GPU 8 nhân, 16 nhân Neural Engine",16GB,512GB SSD,https://cellphones.com.vn/mac-mini-2020-m1-16gb-512gb.html,cellphones.com.vn
Apple MacBook Pro 13 Touch Bar M1 512GB 2020 I Chính hãng Apple Việt Nam ,35.900.000 ₫,41.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"8 nhân GPU, 16 nhân Neural Engine",8GB,512GB SSD,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-512gb.html,cellphones.com.vn
Apple MacBook Air M1 512GB 2020 I I Chính hãng Apple Việt Nam ,29.700.000 ₫,34.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"GPU 7 nhân, 16 nhân Neural Engine",8GB,512GB SSD,https://cellphones.com.vn/macbook-air-2020-m1-512gb.html,cellphones.com.vn
Apple Macbook Pro 13 Touch Bar i5 1.4 512GB 2020 I Chính hãng Apple Việt Nam ,32.500.000 ₫,41.990.000 ₫,"Intel Core i5 thế hệ thứ 8, tốc độ 1.4GHz tối đa 3.9Ghz, 128MB eDRAM",Intel Iris Plus Graphics 645,8GB,512GB SSD,https://cellphones.com.vn/macbook-pro-13-touchbar-i5-1-4ghz-512gb-2020.html,cellphones.com.vn
Apple MacBook Air 13 512GB 2020 I I Chính hãng Apple Việt Nam ,27.000.000 ₫,36.990.000 ₫,"Intel Core i5 10th, công nghệ Turbo Boost tối đa 3.5Hz, với bộ nhớ đệm L3 cache 6MB",Intel Iris Plus Graphics,8GB,512GB SSD,https://cellphones.com.vn/apple-macbook-air-13-2020-512-gb.html,cellphones.com.vn
Apple MacBook Air 13 256GB 2020 I I Chính hãng Apple Việt Nam ,22.990.000 ₫,28.990.000 ₫,"Intel Core i3 2 nhân, công nghệ Turbo Boost tối đa 3.2GHz, với bộ nhớ đệm L3 cache 4MB",Intel Iris Plus Graphics,8GB,256GB SSD,https://cellphones.com.vn/apple-macbook-air-13-2020-256-gb.html,cellphones.com.vn
iMac 24 2021 M1 8GPU 16GB 512GB I Chính hãng Apple Việt Nam,49.990.000 ₫,50.990.000 ₫,Apple M1 8 nhân,GPU 8 nhân,"DDR4 3200Mhz, hỗ trợ tối đa 16GB",512GB SSD,https://cellphones.com.vn/imac-2021-8gpu-16gb-512gb.html,cellphones.com.vn
iMac 24 2021 M1 8GPU 8GB 512GB I Chính hãng Apple Việt Nam,44.990.000 ₫,45.990.000 ₫,Apple M1 8 nhân,GPU 8 nhân,"DDR4 3200Mhz, hỗ trợ tối đa 16GB",512GB SSD,https://cellphones.com.vn/imac-2021-8gpu-512gb.html,cellphones.com.vn
Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,31.500.000 ₫,35.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"8 nhân GPU, 16 nhân Neural Engine",8GB,256GB SSD,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html,cellphones.com.vn
iMac 24 2021 M1 7GPU 8GB 256GB I Chính hãng Apple Việt Nam,33.990.000 ₫,34.990.000 ₫,Apple M1 8 nhân,GPU 7 nhân,"DDR4 3200Mhz, hỗ trợ tối đa 16GB",256GB SSD,https://cellphones.com.vn/imac-2021.html,cellphones.com.vn
Apple Mac mini M1 256GB 2020 I Chính hãng Apple Việt Nam ,18.000.000 ₫,19.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"GPU 8 nhân, 16 nhân Neural Engine",8GB,256GB SSD,https://cellphones.com.vn/mac-mini-2020-m1.html,cellphones.com.vn
Macbook Pro 14 inch 2021,,,,,,,https://cellphones.com.vn/macbook-pro-14-inch-2021.html,cellphones.com.vn
